"date","presetName","pusher","log2ParticleCount","log2SnapshotCount","time","particleCount","snapshotCount","query"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,1,1.4,32,2,"&particleCount=32&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,2,2.9,32,4,"&particleCount=32&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,3,5.4,32,8,"&particleCount=32&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,4,14.4,32,16,"&particleCount=32&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,5,23.9,32,32,"&particleCount=32&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,6,40.3,32,64,"&particleCount=32&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,7,67.7,32,128,"&particleCount=32&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,8,118.6,32,256,"&particleCount=32&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,9,228.6,32,512,"&particleCount=32&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,10,370.3,32,1024,"&particleCount=32&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,1,1.7,64,2,"&particleCount=64&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,2,4.8,64,4,"&particleCount=64&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,3,16.2,64,8,"&particleCount=64&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,4,25.4,64,16,"&particleCount=64&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,5,37.9,64,32,"&particleCount=64&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,6,67.5,64,64,"&particleCount=64&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,7,118.7,64,128,"&particleCount=64&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,8,220.3,64,256,"&particleCount=64&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,9,379,64,512,"&particleCount=64&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,10,683.6,64,1024,"&particleCount=64&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,1,2.7,128,2,"&particleCount=128&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,2,9.4,128,4,"&particleCount=128&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,3,21.2,128,8,"&particleCount=128&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,4,35.7,128,16,"&particleCount=128&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,5,67.7,128,32,"&particleCount=128&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,6,117.1,128,64,"&particleCount=128&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,7,221,128,128,"&particleCount=128&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,8,381.1,128,256,"&particleCount=128&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,9,674,128,512,"&particleCount=128&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,10,1435.2,128,1024,"&particleCount=128&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,1,8.6,256,2,"&particleCount=256&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,2,17.2,256,4,"&particleCount=256&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,3,37.2,256,8,"&particleCount=256&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,4,65.1,256,16,"&particleCount=256&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,5,117.1,256,32,"&particleCount=256&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,6,226.2,256,64,"&particleCount=256&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,7,372.3,256,128,"&particleCount=256&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,8,675,256,256,"&particleCount=256&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,9,1385.8,256,512,"&particleCount=256&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,10,2564.3,256,1024,"&particleCount=256&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,1,10.3,512,2,"&particleCount=512&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,2,31.4,512,4,"&particleCount=512&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,3,59.9,512,8,"&particleCount=512&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,4,114.5,512,16,"&particleCount=512&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,5,214.3,512,32,"&particleCount=512&snapshotCount=32&pusher=js"
